=== 198 NEFFs profiled ===

neff            cnt    tot_us    wtot_us  gpsimd%  tensor%  vector%    dma%
006467d415415f    1      13.0       13.0     28.4     14.8     12.6    10.4
01f8db98365808    1      14.6       14.6     27.2     13.2     16.6     7.1
05686f78282640    1     351.8      351.8     79.5      0.5     19.5    70.5
06cb7d323a2e5e    1      13.2       13.2     30.8     15.0     15.8     5.5
077818e5821eac    1      42.3       42.3     20.0     47.4     24.7    21.6
07bde524082d68    1      12.9       12.9     28.9     17.8     14.4     7.9
08f2d45081cc7b    1      15.2       15.2     32.5     13.1     15.8    14.0
09a8a2a1f76427    1      14.3       14.3     32.4     13.5     14.1    11.2
0a2eb73bd9a4a7    1     656.0      656.0      2.1     15.0     14.3    85.3
0b9b7f49256954    1      19.4       19.4     47.1      9.9     18.2    34.0
0d2ba1c3496440    1      17.0       17.0     29.6     11.4     18.1    15.1
0e25b6843ec59d    1      17.5       17.5     20.0     15.4     11.9     7.0
0e2d2e4462bf7f    1     253.3      253.3     78.3      0.8     18.1    46.9
0fe67c956ba131    1      25.0       25.0     38.8      7.7     21.4    23.7
10b11cdfc621d6    1      18.2       18.2     33.6     29.8     18.1    13.5
11ae9950274080    1      15.8       15.8     33.0     12.2     22.3    12.1
126ad3534788fc    1      16.5       16.5     41.0     11.7      9.9    28.0
159bfe113096b1    1      20.5       20.5     19.5     12.1     10.1     4.4
166f4d0a800187    1      16.9       16.9     35.7     26.4     18.1    11.2
1999cb582d80c2    1      14.5       14.5     31.4     13.3     15.1    13.8
1b7bc40e9fb0d3    1      17.4       17.4     32.3     11.0      9.4    31.9
1ba340bb54797e    1   57019.0    57019.0     68.6      3.5      1.0    18.3
1f535abb26d332    1      16.6       16.6     22.7     13.8     12.4     4.0
1f9b373c0be485    1      13.2       13.2     35.4     18.6     15.7     7.6
208439c4a4ec7a    1      12.8       12.8     35.5     15.0     15.1     6.1
20c03feeb93fff    1      12.8       12.8     35.1     15.1     14.9     4.4
20d7bf5b04f725    1   32209.5    32209.5     75.4      0.9      0.7    13.1
22dc2ab4ccad24    1      12.8       12.8     25.6     15.1     12.8    23.3
247e6e27d99421    1      12.4       12.4     38.3     16.0     14.7     7.3
24c196c76a1275    1      13.3       13.3     31.1     14.9     15.9     8.5
261393b351c3d7    1      16.3       16.3     30.9     11.9     10.9    16.1
2878c7012fcf33    1      14.7       14.7     27.7     13.2     17.7     8.1
28f9e7442f233a    1      17.0       17.0     29.4     19.3     10.9    16.2
2c0c71d5493238    1      35.8       35.8     20.7     50.8     24.5     9.3
2cd5b39e1c5cc4    1    2647.4     2647.4      2.0     24.7     12.9    46.7
2f2b173f86161b    1      13.7       13.7     34.7     20.2     15.5     7.6
30791df81a23c8    1      13.3       13.3     30.3     14.5     14.4     8.1
30b03bd8a2177a    1      15.2       15.2     27.7     12.7     14.8     9.7
30b355b2b5f4d0    1      14.3       14.3     36.6     13.5     11.5    19.9
31730ac6f155b2    1      12.3       12.3     37.1     15.7     13.3     5.7
354188e28b4a20    1      32.8       32.8     28.5     23.2     13.5    52.0
3576b7997fe2ed    1      14.2       14.2     30.4     13.6     14.5    12.9
359a58d1c28b2e    1      37.1       37.1     47.0      5.2     22.3    32.0
376c9321c2e16f    1    2503.4     2503.4     80.7      0.1     15.5    47.5
37da504a478354    1      12.8       12.8     35.9     15.1     12.8    11.2
37dfa4cce13354    1      14.4       14.4     28.9     13.5     15.4     5.3
383c91299da5e6    1   23428.1    23428.1     75.0      2.9      1.4    12.0
415a670cc26d37    1      13.3       13.3     30.0     14.5     14.2     6.2
41bba3b3ecf1f3    1      22.6       22.6     17.8     17.6     11.9    11.1
422b19a899f549    1      14.8       14.8     49.6     13.0     11.1    21.7
42c1bd9f75faa9    1       9.2        9.2      8.1      9.3      9.4     2.3
451e6dbf3982d9    1      22.9       22.9     67.1      8.4     22.7    47.7
45ba8c450ad85b    1      14.4       14.4     36.7     13.4     11.8    19.8
45bfefdc4bd95a    1      15.9       15.9     34.5     12.2     16.4    14.3
4674754cf84451    1      12.9       12.9     28.5     14.9     12.7     9.4
472b4b0bf9d000    1    8433.2     8433.2      1.1     52.3     18.5    50.0
490daeda8cbc34    1      12.9       12.9     36.1     14.9     12.7     7.7
491a62603e60ca    1      11.3       11.3     25.0     17.1     16.5     3.7
4a1fedcf0a639f    1      18.8       18.8     26.2     23.3     11.1    16.3
4b1fe1261d5308    1      66.9       66.9     16.4     64.6     29.0    11.5
4ca181556cbc99    1      14.6       14.6     29.1     19.2     13.2     9.3
4d4f8223b5e6ef    1      12.9       12.9     37.8     15.1     13.8    10.5
52a5826e995a96    1  764373.8   764373.8     63.2      7.1     12.9    25.2
5340792c87d646    1      37.1       37.1     54.5     25.3     30.2    45.8
53e946f1f6414c    1      32.2       32.2     25.6     36.5     26.2    28.0
591b15800d562e    1      12.8       12.8     27.2     15.5     14.4    24.2
59cde365225b6e    1      16.2       16.2     36.2     12.1     16.0    12.9
59ce51391965c2    1    1334.1     1334.1      1.0     15.4     14.7    87.9
59f32a496c5628    1      14.4       14.4     27.9     13.4     16.8     6.8
5a198f4c2d518e    1      13.0       13.0     35.4     14.8     14.6     5.5
5aa298aae83a55    1      12.8       12.8     28.7     15.1     18.7    12.0
5ab1bb83e9af25    1      20.2       20.2     25.2     18.0     17.7    19.5
5b08b1a82aa42c    1      28.7       28.7     45.0     22.0     24.6    35.9
5cb7c4b3d9dc47    1      44.3       44.3     36.9     38.9     13.9    51.7
5cc399d3fe1b28    1     171.5      171.5     77.6      1.1     20.6    67.5
5dad60b3ab752f    1   14626.5    14626.5     75.0      1.1      1.1    14.1
5e27d54b7183de    1      11.7       11.7     22.4     16.5     14.0    20.7
5e4d377f792ef0    1      13.4       13.4     24.4     14.3     12.3    29.8
5eef707febb2ac    1      13.1       13.1     26.5     14.8     12.6     9.1
60145f0c0075b6    1      14.3       14.3     27.3     13.5     14.4     6.4
60b0cd6b1bce2a    1      14.1       14.1     27.7     13.7     13.2     4.0
